Start at 3431
3526.00,8955.04,13078.45,7622.00,degress
3678.00,7557.00,6622.00,7622.00,Direct
4832.00,-70.00,-9.33,19.00,degress
4992.00,-35.00,-5.00,19.00,Direct
6152.00,-10.00,17.77,0.00,degress
6304.00,-5.00,9.00,0.00,Direct
7456.00,-72.00,-7.47,23.00,degress
7617.00,-36.00,-4.00,23.00,Direct
9779.00,-48.00,-22.40,6.00,degress
9932.00,-24.00,-12.00,6.00,Direct
12088.00,-52.00,-11.20,21.00,degress
12249.00,-26.00,-6.00,21.00,Direct
13409.00,-100.00,-18.67,14.00,degress
13561.00,-50.00,-10.00,14.00,Direct
15714.00,-148.00,11.85,17.00,degress
15873.00,-74.00,6.00,17.00,Direct
17033.00,-88.00,-13.07,24.00,degress
17185.00,-44.00,-7.00,24.00,Direct
18338.00,-100.00,-18.67,26.00,degress
18499.00,-50.00,-10.00,26.00,Direct
20661.00,-128.00,-14.93,14.00,degress
20812.00,-64.00,-8.00,14.00,Direct
21965.00,-124.00,-28.00,19.00,degress
22127.00,-62.00,-15.00,19.00,Direct
23286.00,-124.00,13.82,21.00,degress
23441.00,-62.00,7.00,21.00,Direct
24595.00,-96.00,-61.60,5.00,degress
24757.00,-48.00,-33.00,5.00,Direct
25921.00,-112.00,-33.60,23.00,degress
26074.00,-56.00,-18.00,23.00,Direct
27228.00,-108.00,13.82,21.00,degress
27389.00,-54.00,7.00,21.00,Direct
28550.00,-96.00,-5.60,17.00,degress
28702.00,-48.00,-3.00,17.00,Direct
30857.00,-98.00,29.63,23.00,degress
31017.00,-49.00,15.00,23.00,Direct
32176.00,-46.00,39.50,6.00,degress
32328.00,-23.00,20.00,6.00,Direct
33481.00,-24.00,73.08,0.00,degress
33641.00,-12.00,37.00,0.00,Direct
34801.00,-78.00,-82.13,-5.00,degress
34955.00,-39.00,-44.00,-5.00,Direct
36113.00,-108.00,-31.73,19.00,degress
36273.00,-54.00,-17.00,19.00,Direct
37432.00,-104.00,5.93,21.00,degress
37584.00,-52.00,3.00,21.00,Direct
39739.00,-92.00,7.90,25.00,degress
39900.00,-46.00,4.00,25.00,Direct
41058.00,-116.00,11.85,22.00,degress
41210.00,-58.00,6.00,22.00,Direct
43365.00,-104.00,0.00,22.00,degress
43525.00,-52.00,0.00,22.00,Direct
44685.00,-102.00,-3.73,24.00,degress
44837.00,-51.00,-2.00,24.00,Direct
45990.00,-118.00,1.98,20.00,degress
46151.00,-59.00,1.00,20.00,Direct
48317.00,-114.00,17.77,22.00,degress
48470.00,-57.00,9.00,22.00,Direct
49624.00,-108.00,17.77,28.00,degress
49785.00,-54.00,9.00,28.00,Direct
50946.00,-160.00,-13.07,18.00,degress
51098.00,-80.00,-7.00,18.00,Direct
53254.00,-182.00,-52.26,1.00,degress
53413.00,-91.00,-28.00,1.00,Direct
54574.00,-174.00,-39.20,9.00,degress
54725.00,-87.00,-21.00,9.00,Direct
56881.00,-166.00,-26.13,8.00,degress
57041.00,-83.00,-14.00,8.00,Direct
58201.00,-172.00,-35.47,13.00,degress
58355.00,-86.00,-19.00,13.00,Direct
59506.00,-90.00,-67.20,9.00,degress
59668.00,-45.00,-36.00,9.00,Direct
61830.00,-48.00,-67.20,-6.00,degress
61982.00,-24.00,-36.00,-6.00,Direct
63136.00,-56.00,-35.47,19.00,degress
63298.00,-28.00,-19.00,19.00,Direct
65461.00,-72.00,-46.67,12.00,degress
